GRUP DE RECERCA UPC,ÀMBIT DE CONEIXEMENT
EDP - Equacions en Derivades Parcials i Aplicacions,Matemàtiques
"GAPCOMB - Geometric, Algebraic and Probabilistic Combinatorics",Matemàtiques
GEOMVAP - Geometria de Varietats i Aplicacions,Matemàtiques
GMNE - Grup de Metodes Numerics en Enginyeria,Matemàtiques
GNOM - Grup d'Optimitzacio Numerica i Modelitzacio,Matemàtiques
GRAA - Grup de Recerca en Analisi Aplicada,Matemàtiques
GRTJ - Grup de Recerca en Teoria de Jocs,Matemàtiques
LACAN - Metodes Numerics en Ciencies Aplicades i Enginyeria,Matemàtiques
MAK - Matematica Aplicada a la Criptografia,Matemàtiques
MAPTHE - Analisi matricial i Teoria Discreta del Potencial,Matemàtiques
SCL-EG - Sistemes de Control Lineals: estudi Geometric,Matemàtiques
TN - Grup de Recerca en Teoria de Nombres,Matemàtiques
LOGPROG - Logica i Programacio,Matemàtiques
ADBD - Analisi de Dades Complexes per a les Decisions Empresarials,Matemàtiques
DAMA-UPC - Data Management Group,Matemàtiques
AMPC - Analisi de materials de Patrimoni Cultural,Química
ATEM - Analisi i Tecnologia d'Estructures i Materials,Química
CDAL - Centre de Disseny d'Aliatges Lleugers i Tractaments de Superficie,Química
CDIF - Centre de Diagnostic Industrial i Fluidodinamica,Química
CELBIOTECH - Grup de Recerca: Enginyeria Paperera,Química
GCM - Grup de Caracteritzacio de Materials,Química
GReCEF- Grup de Recerca en Ciencia i Enginyeria de Fluids,Química
IFLUIDS - Grup de Recerca Barcelona Fluids & Energy Lab,Química
MECMAT - Mecanica de Materials,Química
NEMEN - Nanoenginyeria de materials aplicats a l'energia,Química
POLQUITEX - Materials Polimerics i Quimica Textil,Química
POLTEPO - Polimers Termoestables Epoxidics,Química
POLY2 - Polyfunctional polymeric materials,Química
PROCOMAME - Processos de Conformacio de Materials Metal?lics,Química
PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,Química
REMM - Recerca en Estructures i Mecanica de Materials,Química
RMEE - Grup  de Resistencia de Materials i Estructures en l'Enginyeria,Química
"CIEFMA - Centre d'Integritat Estructural, Fiabilitat i Micromecanica dels Materials",Química
LITEM - Laboratori per a la Innovacio Tecnologica d'Estructures i Materials,Química
TECTEX - Grup de Recerca en Tecnologia Textil,Química
MICROTECH LAB - Microtechnology for the Industry,Química
MNT - Grup de Recerca en Micro i Nanotecnologies,Química
ANTENNALAB - Grup d'Antenes i Sistemes Radio,Senyals i Sistemes
BIOSPIN - Biomedical Signal Processing and Interpretation,Senyals i Sistemes
GOAPI - Grup d'Optica Aplicada i Processament d'Imatge,Senyals i Sistemes
GPI - Grup de Processament d'Imatge i Video,Senyals i Sistemes
GPLN - Grup de Processament del Llenguatge Natural,Senyals i Sistemes
SPCOM - Grup de Recerca de Processament del Senyal i Comunicacions,Senyals i Sistemes
VEU - Grup de Tractament de la Parla,Senyals i Sistemes
BAMPLA - Disseny i Avaluacio de Xarxes i Serveis de Banda Ampla,Senyals i Sistemes
CBA - Sistemes de Comunicacions i Arquitectures de Banda Ampla,Senyals i Sistemes
CIRCUIT - Grup de Recerca en Circuits i Sistemes de Comunicacio,Senyals i Sistemes
CRAAX - Centre de Recerca d'Arquitectures Avancades de Xarxes,Senyals i Sistemes
CSC - Components and Systems for Communications Research Group,Senyals i Sistemes
GRCM - Grup de Recerca en Comunicacions Mobils,Senyals i Sistemes
GRINS - Grup de Recerca en Robotica Intel?ligent i Sistemes,Senyals i Sistemes
GRXCA - Grup de Recerca en Xarxes de Comunicacions Cel?lulars i Ad-hoc,Senyals i Sistemes
GSS - Grup Sistemes Sensors,Senyals i Sistemes
HIPICS - Grup de Circuits i Sistemes Integrats d'Altes Prestacions,Senyals i Sistemes
INSIDE - Innovacio en Sistemes per al Disseny i la Formacio a l'Enginyeria,Senyals i Sistemes
"QINE - Disseny de Baix Consum, Test, Verificacio i Circuits Integrats de Seguretat",Senyals i Sistemes
RFEMC - Grup de Radiofrequencia i Compatibilitat Electromagnetica en Xarxes de Comunicacions,Senyals i Sistemes
RSLAB - Grup de Recerca en Teledeteccio,Senyals i Sistemes
SAC - Sistemes Avancats de Control,Senyals i Sistemes
SARTI-MAR - Sistemes d'Adquisicio Remota de dades i Tractament de la Informacio en el Medi Mari,Senyals i Sistemes
SD - Sistemes Dinamics de la UPC,Senyals i Sistemes
SIC - Sistemes Intel?ligents de Control,Senyals i Sistemes
VIRTUOS - Virtualisation and Operating Systems,Senyals i Sistemes
WiComTec - Grup de recerca en Tecnologies i Comunicacions Sense Fils,Senyals i Sistemes
WNG - Grup de xarxes sense fils,Senyals i Sistemes
SISCOM - Smart Services for Information Systems and Communication Networks,Senyals i Sistemes
KEMLG - Grup d'Enginyeria del Coneixement i Aprenentatge Automatic,Senyals i Sistemes
MCIA - Motion Control and Industrial Applications Research Group,Senyals i Sistemes
"ViRVIG - Grup de Recerca en Visualitzacio, Realitat Virtual i Interaccio Grafica",Senyals i Sistemes
VIS - Visio Artificial i Sistemes Intel?ligents,Senyals i Sistemes
